0,1,2,3,4,5,6,7,8,9
Impassioned,VERB,ROOT,0,0,11,0,83,,
enough,ADV,advmod,0,12,18,1,83,,
",",PUNCT,punct,4,19,20,2,83,,
it,PRON,nsubj,4,21,23,3,83,,
seems,VERB,parataxis,0,24,29,4,83,,
",",PUNCT,punct,4,30,31,5,83,,
to,PART,aux,7,32,34,6,83,,
appear,VERB,xcomp,4,35,41,7,83,,
in,ADP,prep,7,42,44,8,83,,
three,NUM,nummod,10,45,50,9,83,,
movies,NOUN,pobj,8,51,57,10,83,,
this,DET,det,12,58,62,11,83,,
season,NOUN,npadvmod,7,63,69,12,83,,
:,PUNCT,punct,4,70,71,13,83,,
in,ADP,prep,36,72,74,14,83,,
addition,NOUN,pobj,14,75,83,15,83,,
to,ADP,prep,15,84,86,16,83,,
'',PUNCT,punct,16,87,89,17,83,,
Novocaine,PROPN,pobj,16,90,99,18,83,,
",",PUNCT,punct,18,100,101,19,83,,
'',PUNCT,punct,18,102,104,20,83,,
which,DET,nsubj,22,105,110,21,83,,
opens,VERB,relcl,18,111,116,22,83,,
nationally,ADV,advmod,22,117,127,23,83,,
today,NOUN,npadvmod,22,128,133,24,83,,
-LRB-,PUNCT,punct,18,134,139,25,83,,
review,NOUN,appos,18,140,146,26,83,,
",",PUNCT,punct,18,147,148,27,83,,
Page,NOUN,appos,18,149,153,28,83,,
12,NUM,nummod,28,154,156,29,83,,
-RRB-,X,punct,36,157,162,30,83,,
",",PUNCT,punct,36,163,164,31,83,,
Ms.,PROPN,compound,33,165,168,32,83,,
Dern,PROPN,nsubjpass,36,169,173,33,83,,
can,VERB,aux,36,174,177,34,83,,
be,AUX,auxpass,36,178,180,35,83,,
seen,VERB,conj,0,181,185,36,83,,
opposite,ADJ,prep,36,186,194,37,83,,
William,PROPN,compound,40,195,202,38,83,,
H.,PROPN,compound,40,203,205,39,83,,
Macy,PROPN,pobj,37,206,210,40,83,,
in,ADP,prep,36,211,213,41,83,,
'',PUNCT,punct,41,214,216,42,83,,
Focus,PROPN,pobj,41,217,222,43,83,,
'',PUNCT,punct,41,223,225,44,83,,
and,CCONJ,cc,36,226,229,45,83,,
will,VERB,aux,47,230,234,46,83,,
appear,VERB,conj,36,235,241,47,83,,
with,ADP,prep,47,242,246,48,83,,
Sean,PROPN,compound,50,247,251,49,83,83-1,PER
Penn,PROPN,pobj,48,252,256,50,83,83-1,PER
in,ADP,prep,47,257,259,51,83,,
'',PUNCT,punct,47,260,262,52,83,,
I,PRON,nsubj,54,263,264,53,83,,
Am,AUX,ROOT,54,265,267,54,83,,
Sam,PROPN,attr,54,268,271,55,83,83-2,ORG
",",PUNCT,punct,54,272,273,56,83,,
'',PUNCT,punct,54,274,276,57,83,,
opening,VERB,advcl,54,277,284,58,83,,
at,ADP,prep,58,285,287,59,83,,
the,DET,det,61,288,291,60,83,,
end,NOUN,pobj,59,292,295,61,83,,
of,ADP,prep,61,296,298,62,83,,
the,DET,det,64,299,302,63,83,,
year,NOUN,pobj,62,303,307,64,83,,
.,PUNCT,punct,54,308,309,65,83,,
He,PRON,nsubj,1,0,2,0,84,,
shot,VERB,ROOT,1,3,7,1,84,,
and,CCONJ,cc,1,8,11,2,84,,
missed,VERB,conj,1,12,18,3,84,,
a,DET,det,6,19,20,4,84,,
fallaway,NOUN,amod,6,21,29,5,84,,
10-footer,NUM,dobj,3,30,39,6,84,,
",",PUNCT,punct,1,40,41,7,84,,
Bramlett,PROPN,nsubj,9,42,50,8,84,84-1,PER
missed,VERB,ROOT,9,51,57,9,84,,
a,DET,det,13,58,59,10,84,,
tip,NOUN,compound,13,60,63,11,84,,
-,PUNCT,punct,13,63,64,12,84,,
in,NOUN,dobj,9,64,66,13,84,,
and,CCONJ,cc,9,67,70,14,84,,
Jefferson,PROPN,nsubj,16,71,80,15,84,84-2,PER
put,VERB,conj,9,81,84,16,84,,
up,ADP,prt,16,85,87,17,84,,
an,DET,det,21,88,90,18,84,,
8-foot,NUM,nummod,21,91,97,19,84,,
air,NOUN,compound,21,98,101,20,84,,
ball,NOUN,dobj,16,102,106,21,84,,
as,SCONJ,mark,25,107,109,22,84,,
the,DET,det,24,110,113,23,84,,
buzzer,NOUN,nsubj,25,114,120,24,84,,
sounded,VERB,advcl,16,121,128,25,84,,
.,PUNCT,punct,9,129,130,26,84,,
On,ADP,prep,9,0,2,0,85,,
a,DET,det,3,3,4,1,85,,
separate,ADJ,amod,3,5,13,2,85,,
issue,NOUN,pobj,0,14,19,3,85,,
with,ADP,prep,3,20,24,4,85,,
Iran,PROPN,pobj,4,25,29,5,85,,
",",PUNCT,punct,9,30,31,6,85,,
Mr.,PROPN,compound,8,32,35,7,85,,
Bush,PROPN,nsubj,9,36,40,8,85,,
signaled,VERB,ROOT,9,41,49,9,85,,
that,SCONJ,mark,22,50,54,10,85,,
the,DET,det,12,55,58,11,85,,
country,NOUN,poss,15,59,66,12,85,,
's,PART,case,12,67,69,13,85,,
new,ADJ,amod,15,70,73,14,85,,
president,NOUN,nsubjpass,22,74,83,15,85,,
",",PUNCT,punct,15,84,85,16,85,,
Mahmoud,PROPN,compound,18,86,93,17,85,,
Ahmadinejad,PROPN,appos,15,94,105,18,85,,
",",PUNCT,punct,15,106,107,19,85,,
would,VERB,aux,22,108,113,20,85,,
be,AUX,auxpass,22,114,116,21,85,,
granted,VERB,ccomp,9,117,124,22,85,,
a,DET,det,24,125,126,23,85,,
visa,NOUN,dobj,22,127,131,24,85,,
in,ADP,prep,22,132,134,25,85,,
order,NOUN,pobj,25,135,140,26,85,,
to,PART,aux,28,141,143,27,85,,
attend,VERB,acl,26,144,150,28,85,,
the,DET,det,34,151,154,29,85,,
annual,ADJ,amod,34,155,161,30,85,,
United,PROPN,compound,32,162,168,31,85,,
Nations,PROPN,compound,34,169,176,32,85,,
summit,NOUN,compound,34,177,183,33,85,,
meeting,NOUN,dobj,28,184,191,34,85,,
in,ADP,prep,34,192,194,35,85,,
New,PROPN,compound,37,195,198,36,85,,
York,PROPN,pobj,35,199,203,37,85,,
in,ADP,prep,28,204,206,38,85,,
September,PROPN,pobj,38,207,216,39,85,,
--,PUNCT,punct,22,217,219,40,85,,
despite,SCONJ,prep,22,220,227,41,85,,
questions,NOUN,pobj,41,228,237,42,85,,
about,ADP,prep,42,238,243,43,85,,
what,DET,det,45,244,248,44,85,,
role,NOUN,dobj,49,249,253,45,85,,
he,PRON,nsubj,49,254,256,46,85,,
may,VERB,aux,49,257,260,47,85,,
have,AUX,aux,49,261,265,48,85,,
played,VERB,pcomp,43,266,272,49,85,,
in,ADP,prep,49,273,275,50,85,,
the,DET,det,54,276,279,51,85,,
1979,NUM,nummod,54,280,284,52,85,,
hostage,NOUN,compound,54,285,292,53,85,,
standoff,PROPN,pobj,50,293,301,54,85,,
at,ADP,prep,49,302,304,55,85,,
the,DET,det,59,305,308,56,85,,
United,PROPN,compound,58,309,315,57,85,85-1,LOC
States,PROPN,compound,59,316,322,58,85,85-1,LOC
Embassy,PROPN,pobj,55,323,330,59,85,,
in,ADP,prep,59,331,333,60,85,,
Tehran,PROPN,pobj,60,334,340,61,85,85-2,LOC
.,PUNCT,punct,9,341,342,62,85,,
Paolo,PROPN,compound,1,0,5,0,86,86-1,PER
Pecchioli,PROPN,nsubj,2,6,15,1,86,86-1,PER
sang,VERB,ROOT,2,16,20,2,86,,
Gaudenzio,PROPN,poss,5,21,30,3,86,,
's,PART,case,3,31,33,4,86,,
music,NOUN,dobj,2,34,39,5,86,,
heftily,ADV,advmod,2,40,47,6,86,,
",",PUNCT,punct,2,48,49,7,86,,
and,CCONJ,cc,2,50,53,8,86,,
Gary,PROPN,compound,10,54,58,9,86,86-2,PER
Lehman,PROPN,nsubj,11,59,65,10,86,86-2,PER
was,AUX,conj,2,66,69,11,86,,
a,DET,det,14,70,71,12,86,,
solid,ADJ,amod,14,72,77,13,86,,
Bruschino,PROPN,attr,11,78,87,14,86,,
.,PUNCT,punct,11,88,89,15,86,,
More,ADJ,amod,2,0,4,0,87,,
than,SCONJ,quantmod,2,5,9,1,87,,
100,NUM,nummod,4,10,13,2,87,,
government,NOUN,compound,4,14,24,3,87,,
agencies,NOUN,nsubj,12,25,33,4,87,,
in,ADP,prep,4,34,36,5,87,,
New,PROPN,compound,7,37,40,6,87,87-1,PER
York,PROPN,compound,8,41,45,7,87,87-1,PER
City,PROPN,pobj,5,46,50,8,87,87-1,PER
and,CCONJ,cc,8,51,54,9,87,,
Westchester,PROPN,compound,11,55,66,10,87,87-2,LOC
County,PROPN,conj,8,67,73,11,87,87-2,LOC
receive,VERB,ROOT,12,74,81,12,87,,
Power,PROPN,compound,14,82,87,13,87,,
Authority,PROPN,compound,15,88,97,14,87,,
power,NOUN,dobj,12,98,103,15,87,,
",",PUNCT,punct,15,104,105,16,87,,
some,DET,nsubjpass,21,106,110,17,87,,
of,ADP,prep,17,111,113,18,87,,
which,DET,pobj,18,114,119,19,87,,
is,AUX,auxpass,21,120,122,20,87,,
generated,VERB,relcl,15,123,132,21,87,,
by,ADP,agent,21,133,135,22,87,,
its,DET,poss,27,136,139,23,87,,
Charles,PROPN,compound,26,140,147,24,87,,
Poletti,PROPN,compound,26,148,155,25,87,,
Power,PROPN,compound,27,156,161,26,87,,
Plant,PROPN,pobj,22,162,167,27,87,,
in,ADP,prep,27,168,170,28,87,,
Astoria,PROPN,pobj,28,171,178,29,87,,
",",PUNCT,punct,29,179,180,30,87,,
Queens,PROPN,appos,29,181,187,31,87,,
.,PUNCT,punct,12,188,189,32,87,,
Mr.,PROPN,compound,1,0,3,0,88,88-1,PER
Sabini,PROPN,nsubj,5,4,10,1,88,88-1,PER
",",PUNCT,punct,1,11,12,2,88,,
45,NUM,appos,1,13,15,3,88,,
",",PUNCT,punct,1,16,17,4,88,,
served,VERB,ROOT,5,18,24,5,88,,
in,ADP,prep,5,25,27,6,88,,
the,DET,det,9,28,31,7,88,,
City,PROPN,compound,9,32,36,8,88,88-2,MISC
Council,PROPN,pobj,6,37,44,9,88,88-2,MISC
for,ADP,prep,5,45,48,10,88,,
10,NUM,nummod,12,49,51,11,88,,
years,NOUN,pobj,10,52,57,12,88,,
and,CCONJ,cc,5,58,61,13,88,,
also,ADV,advmod,15,62,66,14,88,,
served,VERB,conj,5,67,73,15,88,,
briefly,ADV,advmod,15,74,81,16,88,,
in,ADP,prep,15,82,84,17,88,,
the,DET,det,19,85,88,18,88,,
1980,NUM,pobj,17,89,93,19,88,,
's,PART,case,19,94,96,20,88,,
as,SCONJ,prep,19,97,99,21,88,,
chairman,NOUN,pobj,21,100,108,22,88,,
of,ADP,prep,22,109,111,23,88,,
the,DET,det,28,112,115,24,88,,
Queens,PROPN,compound,27,116,122,25,88,,
Democratic,PROPN,compound,27,123,133,26,88,,
Party,PROPN,compound,28,134,139,27,88,,
organization,NOUN,pobj,23,140,152,28,88,,
.,PUNCT,punct,5,153,154,29,88,,
Dr.,PROPN,compound,1,0,3,0,89,89-1,PER
Cournand,PROPN,ROOT,1,4,12,1,89,89-1,PER
",",PUNCT,punct,1,13,14,2,89,,
who,PRON,nsubj,5,15,18,3,89,,
had,AUX,aux,5,19,22,4,89,,
joined,VERB,relcl,1,23,29,5,89,,
the,DET,det,7,30,33,6,89,,
faculty,NOUN,dobj,5,34,41,7,89,,
at,ADP,prep,7,42,44,8,89,,
Physicians,PROPN,pobj,8,45,55,9,89,89-2,ORG
and,CCONJ,cc,9,56,59,10,89,89-2,ORG
 ,SPACE,,10,60,61,11,89,89-2,ORG
Surgeons,PROPN,conj,9,61,69,12,89,89-2,ORG
in,ADP,prep,5,70,72,13,89,,
1935,NUM,pobj,13,73,77,14,89,,
",",PUNCT,punct,1,78,79,15,89,,
retired,VERB,acl,1,80,87,16,89,,
in,ADP,prep,16,88,90,17,89,,
1964,NUM,pobj,17,91,95,18,89,,
but,CCONJ,cc,16,96,99,19,89,,
continued,VERB,conj,16,100,109,20,89,,
as,SCONJ,prep,20,110,112,21,89,,
a,DET,det,24,113,114,22,89,,
special,ADJ,amod,24,115,122,23,89,,
lecturer,NOUN,pobj,21,123,131,24,89,,
until,ADP,prep,20,132,137,25,89,,
his,DET,poss,28,138,141,26,89,,
final,ADJ,amod,28,142,147,27,89,,
illness,NOUN,pobj,25,148,155,28,89,,
.,PUNCT,punct,1,156,157,29,89,,
But,CCONJ,cc,34,0,3,0,90,,
while,SCONJ,mark,4,4,9,1,90,,
Ms.,PROPN,compound,3,10,13,2,90,,
Meub,PROPN,nsubj,4,14,18,3,90,,
describes,VERB,advcl,34,19,28,4,90,,
the,DET,det,6,29,32,5,90,,
debate,NOUN,dobj,4,33,39,6,90,,
as,SCONJ,prep,6,40,42,7,90,,
'',PUNCT,punct,7,43,45,8,90,,
half,ADJ,advmod,10,46,50,9,90,,
whimsical,ADJ,pobj,7,51,60,10,90,,
",",PUNCT,punct,34,61,62,11,90,,
'',PUNCT,punct,34,63,65,12,90,,
at,ADV,advmod,14,66,68,13,90,,
least,ADV,advmod,15,69,74,14,90,,
one,NUM,nummod,16,75,78,15,90,,
debater,NOUN,nsubj,34,79,86,16,90,,
",",PUNCT,punct,16,87,88,17,90,,
Frank,PROPN,compound,19,89,94,18,90,,
Bryan,PROPN,appos,16,95,100,19,90,,
",",PUNCT,punct,19,101,102,20,90,,
a,DET,det,22,103,104,21,90,,
professor,NOUN,appos,19,105,114,22,90,,
of,ADP,prep,22,115,117,23,90,,
political,ADJ,amod,25,118,127,24,90,,
science,NOUN,pobj,23,128,135,25,90,,
at,ADP,prep,22,136,138,26,90,,
the,DET,det,28,139,142,27,90,,
University,PROPN,pobj,26,143,153,28,90,90-1,ORG
of,ADP,prep,28,154,156,29,90,90-1,ORG
Vermont,PROPN,pobj,29,157,164,30,90,90-1,ORG
in,ADP,prep,28,165,167,31,90,,
Burlington,PROPN,pobj,31,168,178,32,90,90-2,LOC
",",PUNCT,punct,34,179,180,33,90,,
appeared,VERB,ROOT,34,181,189,34,90,,
to,PART,aux,36,190,192,35,90,,
be,AUX,xcomp,34,193,195,36,90,,
in,ADP,prep,36,196,198,37,90,,
earnest,NOUN,pobj,37,199,206,38,90,,
.,PUNCT,punct,34,207,208,39,90,,
Besides,SCONJ,prep,10,0,7,0,91,,
his,DET,poss,2,8,11,1,91,,
son,NOUN,pobj,0,12,15,2,91,,
Jaime,PROPN,appos,2,16,21,3,91,,
",",PUNCT,punct,2,22,23,4,91,,
of,ADP,prep,2,24,26,5,91,,
Queens,PROPN,pobj,5,27,33,6,91,,
",",PUNCT,punct,10,34,35,7,91,,
he,PRON,nsubjpass,10,36,38,8,91,,
is,AUX,auxpass,10,39,41,9,91,,
survived,VERB,ROOT,10,42,50,10,91,,
by,ADP,agent,10,51,53,11,91,,
his,DET,poss,13,54,57,12,91,,
wife,NOUN,pobj,11,58,62,13,91,,
",",PUNCT,punct,13,63,64,14,91,,
the,DET,det,18,65,68,15,91,,
former,ADJ,amod,18,69,75,16,91,,
Carmen,PROPN,compound,18,76,82,17,91,,
Inoa,PROPN,appos,13,83,87,18,91,,
;,PUNCT,punct,13,88,89,19,91,,
three,NUM,nummod,21,90,95,20,91,,
sisters,NOUN,appos,13,96,103,21,91,,
",",PUNCT,punct,21,104,105,22,91,,
Aurora,PROPN,compound,24,106,112,23,91,,
Vazquez,PROPN,appos,21,113,120,24,91,,
of,ADP,prep,24,121,123,25,91,,
Manhattan,PROPN,pobj,25,124,133,26,91,,
",",PUNCT,punct,21,134,135,27,91,,
Amelia,PROPN,compound,29,136,142,28,91,91-1,PER
Vazquez,PROPN,appos,21,143,150,29,91,91-1,PER
of,ADP,prep,29,151,153,30,91,,
San,PROPN,compound,32,154,157,31,91,91-2,LOC
Juan,PROPN,pobj,30,158,162,32,91,91-2,LOC
",",PUNCT,punct,32,163,164,33,91,,
P.R.,PROPN,conj,32,165,169,34,91,,
",",PUNCT,punct,34,170,171,35,91,,
and,CCONJ,cc,29,172,175,36,91,,
Carmen,PROPN,compound,38,176,182,37,91,,
Morgan,PROPN,conj,29,183,189,38,91,,
of,ADP,prep,38,190,192,39,91,,
Vero,PROPN,compound,41,193,197,40,91,,
Beach,PROPN,pobj,39,198,203,41,91,,
",",PUNCT,punct,41,204,205,42,91,,
Fla.,PROPN,appos,41,206,210,43,91,,
",",PUNCT,punct,38,211,212,44,91,,
and,CCONJ,cc,38,213,216,45,91,,
another,DET,det,47,217,224,46,91,,
son,NOUN,conj,38,225,228,47,91,,
",",PUNCT,punct,47,229,230,48,91,,
Miguel,PROPN,appos,47,231,237,49,91,,
",",PUNCT,punct,47,238,239,50,91,,
also,ADV,advmod,52,240,244,51,91,,
of,ADP,prep,47,245,247,52,91,,
Queens,PROPN,pobj,52,248,254,53,91,,
.,PUNCT,punct,10,255,256,54,91,,
But,CCONJ,cc,10,0,3,0,92,,
unlike,ADP,prep,10,4,10,1,92,,
Osama,PROPN,compound,4,11,16,2,92,,
bin,PROPN,compound,4,17,20,3,92,,
Laden,PROPN,pobj,1,21,26,4,92,,
and,CCONJ,cc,4,27,30,5,92,,
Saddam,PROPN,compound,7,31,37,6,92,,
Hussein,PROPN,conj,4,38,45,7,92,,
",",PUNCT,punct,10,46,47,8,92,,
he,PRON,nsubj,10,48,50,9,92,,
lives,VERB,ROOT,10,51,56,10,92,,
in,ADP,prep,10,57,59,11,92,,
plain,ADJ,amod,13,60,65,12,92,,
sight,NOUN,pobj,11,66,71,13,92,,
--,PUNCT,punct,10,72,74,14,92,,
in,ADP,prep,10,75,77,15,92,,
Moscow,PROPN,pobj,15,78,84,16,92,92-1,LOC
",",PUNCT,punct,15,85,86,17,92,,
under,ADP,conj,15,87,92,18,92,,
the,DET,det,21,93,96,19,92,,
apparent,ADJ,amod,21,97,105,20,92,,
protection,NOUN,pobj,18,106,116,21,92,,
of,ADP,prep,21,117,119,22,92,,
a,DET,det,27,120,121,23,92,,
post,ADJ,dep,25,122,126,24,92,92-2,MISC
-,ADJ,dep,26,126,127,25,92,92-2,MISC
Communist,ADJ,amod,27,127,136,26,92,92-2,MISC
system,NOUN,pobj,22,137,143,27,92,,
that,DET,nsubj,30,144,148,28,92,,
has,AUX,aux,30,149,152,29,92,,
profited,VERB,relcl,27,153,161,30,92,,
from,ADP,prep,30,162,166,31,92,,
his,DET,poss,33,167,170,32,92,,
activities,NOUN,pobj,31,171,181,33,92,,
as,ADV,advmod,35,182,184,34,92,,
much,ADV,advmod,30,185,189,35,92,,
as,SCONJ,mark,38,190,192,36,92,,
he,PRON,nsubj,38,193,195,37,92,,
has,AUX,advcl,35,196,199,38,92,,
.,PUNCT,punct,10,200,201,39,92,,
George,PROPN,compound,1,0,6,0,93,93-1,PER
Raptis,PROPN,ROOT,1,7,13,1,93,93-1,PER
",",PUNCT,punct,1,14,15,2,93,,
M.D.,PROPN,appos,1,16,20,3,93,,
",",PUNCT,punct,1,21,22,4,93,,
Treas,PROPN,appos,1,23,28,5,93,93-2,LOC
.,PUNCT,punct,1,28,29,6,93,93-2,LOC
Mr.,PROPN,compound,1,0,3,0,94,,
Rushdie,PROPN,poss,3,4,11,1,94,,
's,PART,case,1,12,14,2,94,,
novel,NOUN,nsubj,27,15,20,3,94,,
",",PUNCT,punct,3,21,22,4,94,,
which,DET,nsubjpass,7,23,28,5,94,,
is,AUX,auxpass,7,29,31,6,94,,
considered,VERB,relcl,3,32,42,7,94,,
blasphemous,ADJ,oprd,7,43,54,8,94,,
to,ADP,prep,8,55,57,9,94,,
many,ADJ,amod,11,58,62,10,94,,
Muslims,PROPN,pobj,9,63,70,11,94,94-1,MISC
and,CCONJ,cc,7,71,74,12,94,,
for,ADP,prep,20,75,78,13,94,,
which,DET,pobj,13,79,84,14,94,,
Ayatollah,PROPN,compound,17,85,94,15,94,94-2,PER
Ruhollah,PROPN,compound,17,95,103,16,94,94-2,PER
Khomeini,PROPN,nsubj,20,104,112,17,94,94-2,PER
of,ADP,prep,17,113,115,18,94,,
Iran,PROPN,pobj,18,116,120,19,94,,
called,VERB,conj,7,121,127,20,94,,
for,ADP,prep,20,128,131,21,94,,
the,DET,det,23,132,135,22,94,,
author,NOUN,poss,25,136,142,23,94,,
's,PART,case,23,143,145,24,94,,
death,NOUN,pobj,21,146,151,25,94,,
",",PUNCT,punct,3,152,153,26,94,,
was,AUX,ROOT,27,154,157,27,94,,
not,PART,neg,27,158,161,28,94,,
in,ADP,prep,27,162,164,29,94,,
the,DET,det,31,165,168,30,94,,
window,NOUN,pobj,29,169,175,31,94,,
",",PUNCT,punct,27,176,177,32,94,,
but,CCONJ,cc,27,178,181,33,94,,
other,ADJ,amod,35,182,187,34,94,,
books,NOUN,nsubj,45,188,193,35,94,,
from,ADP,prep,35,194,198,36,94,,
Viking,PROPN,compound,38,199,205,37,94,,
Penguin,PROPN,pobj,36,206,213,38,94,,
",",PUNCT,punct,35,214,215,39,94,,
Mr.,PROPN,compound,41,216,219,40,94,,
Rushdie,PROPN,poss,43,220,227,41,94,,
's,PART,case,41,228,230,42,94,,
publishers,NOUN,appos,35,231,241,43,94,,
",",PUNCT,punct,45,242,243,44,94,,
were,AUX,conj,27,244,248,45,94,,
on,ADP,prep,45,249,251,46,94,,
display,NOUN,pobj,46,252,259,47,94,,
.,PUNCT,punct,45,260,261,48,94,,
Moscow,PROPN,nsubj,2,0,6,0,95,95-1,LOC
has,AUX,aux,2,7,10,1,95,,
threatened,VERB,ROOT,2,11,21,2,95,,
to,PART,aux,4,22,24,3,95,,
stop,VERB,xcomp,2,25,29,4,95,,
reducing,VERB,xcomp,4,30,38,5,95,,
its,DET,poss,8,39,42,6,95,,
"7,000-warhead",NUM,nummod,8,43,56,7,95,,
arsenal,NOUN,dobj,5,57,64,8,95,,
if,SCONJ,mark,11,65,67,9,95,,
Washington,PROPN,nsubj,11,68,78,10,95,95-2,LOC
breaks,VERB,advcl,4,79,85,11,95,,
out,SCONJ,prep,11,86,89,12,95,,
of,ADP,prep,12,90,92,13,95,,
the,DET,det,16,93,96,14,95,,
A.B.M.,PROPN,compound,16,97,103,15,95,,
Treaty,PROPN,pobj,13,104,110,16,95,,
.,PUNCT,punct,2,111,112,17,95,,
Michelle,PROPN,compound,1,0,8,0,96,,
Fischer,PROPN,nsubj,16,9,16,1,96,,
",",PUNCT,punct,1,17,18,2,96,,
a,DET,det,4,19,20,3,96,,
daughter,NOUN,appos,1,21,29,4,96,,
of,ADP,prep,4,30,32,5,96,,
Jacqueline,PROPN,pobj,5,33,43,6,96,96-1,PER
and,CCONJ,cc,6,44,47,7,96,,
Stanley,PROPN,compound,9,48,55,8,96,,
Fischer,PROPN,conj,6,56,63,9,96,,
of,ADP,prep,9,64,66,10,96,,
Great,PROPN,compound,12,67,72,11,96,,
Neck,PROPN,pobj,10,73,77,12,96,,
",",PUNCT,punct,12,78,79,13,96,,
N.Y.,PROPN,appos,12,80,84,14,96,96-2,LOC
",",PUNCT,punct,12,85,86,15,96,,
is,AUX,ROOT,16,87,89,16,96,,
to,PART,aux,19,90,92,17,96,,
be,AUX,auxpass,19,93,95,18,96,,
married,VERB,xcomp,16,96,103,19,96,,
today,NOUN,npadvmod,19,104,109,20,96,,
to,ADP,prep,19,110,112,21,96,,
David,PROPN,compound,23,113,118,22,96,,
Kaplan,PROPN,pobj,21,119,125,23,96,,
",",PUNCT,punct,23,126,127,24,96,,
a,DET,det,26,128,129,25,96,,
son,NOUN,appos,23,130,133,26,96,,
of,ADP,prep,26,134,136,27,96,,
Lily,PROPN,compound,29,137,141,28,96,,
Kaplan,PROPN,pobj,27,142,148,29,96,,
and,CCONJ,cc,29,149,152,30,96,,
Joseph,PROPN,compound,32,153,159,31,96,,
Kaplan,PROPN,conj,29,160,166,32,96,,
of,ADP,prep,32,167,169,33,96,,
New,PROPN,compound,35,170,173,34,96,,
York,PROPN,pobj,33,174,178,35,96,,
.,PUNCT,punct,16,179,180,36,96,,
'',PUNCT,punct,12,0,2,0,97,,
If,SCONJ,mark,3,3,5,1,97,,
you,PRON,nsubj,3,6,9,2,97,,
have,AUX,advcl,12,10,14,3,97,,
someone,PRON,dobj,3,15,22,4,97,,
with,ADP,prep,4,23,27,5,97,,
the,DET,det,7,28,31,6,97,,
name,NOUN,pobj,5,32,36,7,97,,
John,PROPN,compound,9,37,41,8,97,97-1,NONE
Smith,PROPN,appos,7,42,47,9,97,97-1,NONE
",",PUNCT,punct,12,48,49,10,97,,
there,PRON,expl,12,50,55,11,97,,
are,AUX,ccomp,21,56,59,12,97,,
probably,ADV,advmod,12,60,68,13,97,,
thousands,NOUN,attr,12,69,78,14,97,,
of,ADP,prep,14,79,81,15,97,,
people,NOUN,pobj,15,82,88,16,97,,
",",PUNCT,punct,21,89,90,17,97,,
'',PUNCT,punct,21,91,93,18,97,,
Mr.,PROPN,compound,20,94,97,19,97,97-2,PER
Kobilinsky,PROPN,nsubj,21,98,108,20,97,97-2,PER
said,VERB,ROOT,21,109,113,21,97,,
.,PUNCT,punct,21,114,115,22,97,,
'',PUNCT,punct,19,0,2,0,98,,
We,PRON,nsubj,4,3,5,1,98,,
do,AUX,aux,4,6,8,2,98,,
n't,PART,neg,4,9,12,3,98,,
know,VERB,ccomp,19,13,17,4,98,,
what,PRON,det,6,18,22,5,98,,
kind,NOUN,nmod,11,23,27,6,98,,
of,ADP,prep,6,28,30,7,98,,
publishing,VERB,pcomp,7,31,41,8,98,,
philosophy,NOUN,dobj,8,42,52,9,98,,
Warwick,PROPN,compound,11,53,60,10,98,98-1,PER
Fairfax,PROPN,nsubj,13,61,68,11,98,98-1,PER
is,AUX,aux,13,69,71,12,98,,
going,VERB,ccomp,4,72,77,13,98,,
to,PART,aux,15,78,80,14,98,,
keep,VERB,xcomp,13,81,85,15,98,,
up,ADP,prt,15,86,88,16,98,,
",",PUNCT,punct,19,89,90,17,98,,
'',PUNCT,punct,19,91,93,18,98,,
said,VERB,ROOT,19,94,98,19,98,,
Roger,PROPN,compound,21,99,104,20,98,98-2,PER
Colman,PROPN,nsubj,19,105,111,21,98,98-2,PER
",",PUNCT,punct,21,112,113,22,98,,
a,DET,det,25,114,115,23,98,,
media,NOUN,compound,25,116,121,24,98,,
analyst,NOUN,appos,21,122,129,25,98,,
for,ADP,prep,25,130,133,26,98,,
County,PROPN,compound,30,134,140,27,98,,
Securities,PROPN,compound,30,141,151,28,98,,
Australia,PROPN,compound,30,152,161,29,98,,
Ltd.,PROPN,pobj,26,162,166,30,98,,
in,ADP,prep,30,167,169,31,98,,
Sydney,PROPN,pobj,31,170,176,32,98,,
.,PUNCT,punct,19,177,178,33,98,,
Mr.,PROPN,compound,1,0,3,0,99,99-1,PER
Gore,PROPN,nsubj,20,4,8,1,99,99-1,PER
",",PUNCT,punct,1,9,10,2,99,,
who,PRON,nsubj,4,11,14,3,99,,
held,VERB,relcl,1,15,19,4,99,,
regular,ADJ,amod,6,20,27,5,99,,
talks,NOUN,dobj,4,28,33,6,99,,
with,ADP,prep,6,34,38,7,99,,
Mr.,PROPN,compound,9,39,42,8,99,99-2,PER
Chernomyrdin,PROPN,pobj,7,43,55,9,99,99-2,PER
that,DET,nsubj,11,56,60,10,99,,
became,VERB,relcl,1,61,67,11,99,,
an,DET,det,14,68,70,12,99,,
important,ADJ,amod,14,71,80,13,99,,
channel,NOUN,attr,11,81,88,14,99,,
for,ADP,prep,14,89,92,15,99,,
relations,NOUN,pobj,15,93,102,16,99,,
with,ADP,prep,16,103,107,17,99,,
Russia,PROPN,pobj,17,108,114,18,99,,
",",PUNCT,punct,1,115,116,19,99,,
declined,VERB,ROOT,20,117,125,20,99,,
to,PART,aux,22,126,128,21,99,,
comment,VERB,xcomp,20,129,136,22,99,,
on,ADP,prep,22,137,139,23,99,,
the,DET,det,25,140,143,24,99,,
