,sent_index,dep,sentence_length,root_index,root_word,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,shortest_path,rel type,rel subtype,entity 1 ID,entity 2 ID,entity 1 mention ID,entity 2 mention ID,entity 1 type,entity 2 type,same_sent,same_sent.1,distance,pos_pattern,shortest_dep_path,span,label
15,5.0,"['compound', 'nsubj', 'ROOT', 'det', 'dobj', 'prep', 'det', 'pobj', 'prep', 'amod', 'compound', 'compound', 'pobj', 'advmod', 'npadvmod', 'cc', 'conj', 'dobj', 'aux', 'xcomp', 'det', 'dobj', 'aux', 'advcl', 'advmod', 'advmod', 'dobj', 'prep', 'compound', 'pobj', 'cc', 'amod', 'conj', 'prep', 'pobj', 'cc', 'det', 'compound', 'conj', 'punct']",40,2,raised,32,38,6,31,1,-30,36,innocent civilians,Damascus suburbs,Organisation,Location,ADJ-NOUN,PROPN-NOUN,amod-conj,compound-conj,JJ-NNS,NNP-NNS,4,"[32, 29, 33, 34, 38]",CoLocated,CoLocated,2E857EFC55A390B6382FDE5C87F06D67-5-191-209-Organisation,2E857EFC55A390B6382FDE5C87F06D67-5-228-244-Location,2E857EFC55A390B6382FDE5C87F06D67-5-191-209-Organisation,2E857EFC55A390B6382FDE5C87F06D67-5-228-244-Location,Organisation,Location,True,True,5.0,ADP-PROPN-CCONJ-DET,4.0,innocent civilians in Aleppo and the Damascus suburbs,1
0,0.0,"['nsubj', 'punct', 'appos', 'punct', 'compound', 'appos', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'det', 'attr', 'prep', 'amod', 'pobj', 'punct', 'conj', 'nummod', '', 'dobj', 'punct', 'appos', '', 'appos', 'punct', 'appos', 'prep', 'pobj', 'punct']",30,10,is,1,15,14,0,14,9,5,Hibhib Village,northern Iraq,Location,Location,PROPN-PROPN,ADJ-PROPN,compound-appos,amod-pobj,NNP-NNP,JJ-NNP,6,"[1, 2, 0, 10, 12, 13, 15]",CoLocated,CoLocated,0388FEF6427DE0223688EB04A8DA71E1-0-30-44-Location,0388FEF6427DE0223688EB04A8DA71E1-0-62-75-Location,0388FEF6427DE0223688EB04A8DA71E1-0-30-44-Location,0388FEF6427DE0223688EB04A8DA71E1-0-62-75-Location,Location,Location,True,True,5.0,AUX-DET-NOUN-ADP,7.0,Hibhib Village ) is a village in northern Iraq,1
1,3.0,"['prep', 'pobj', 'punct', 'mark', 'advcl', 'prep', 'det', 'pobj', 'prep', 'poss', 'amod', 'pobj', 'punct', 'nsubjpass', 'auxpass', 'ROOT', 'cc', 'conj', 'agent', 'amod', 'compound', 'pobj', 'punct', '']",24,15,bombed,10,14,4,9,9,5,-1,his spiritual adviser,he,Person,Person,DET-ADJ-NOUN,PRON,poss-amod-pobj,nsubjpass,PRP$-JJ-NN,PRP,5,"[10, 11, 8, 4, 15, 14]",CoLocated,CoLocated,0388FEF6427DE0223688EB04A8DA71E1-3-45-66-Person,0388FEF6427DE0223688EB04A8DA71E1-3-68-70-Person,0388FEF6427DE0223688EB04A8DA71E1-3-45-66-Person,0388FEF6427DE0223688EB04A8DA71E1-3-68-70-Person,Person,Person,True,True,1.0,,6.0,"his spiritual adviser , he",1
0,5.0,"['amod', 'nsubj', 'prep', 'det', 'pobj', 'ROOT', 'acomp', 'aux', 'xcomp', 'dobj', 'prep', 'amod', 'pobj', 'prep', 'det', 'compound', 'pobj', 'prep', 'amod', 'compound', 'pobj', 'punct', '']",23,5,were,1,5,4,0,17,4,0,Noncommissioned officers,unit,Organisation,Organisation,VERB-NOUN,NOUN,amod-nsubj,pobj,VBN-NNS,NN,1,"[1, 5]",BelongsTo,BelongsTo,1B05F2376ED66CA9FFEB00BE752C16DC-4-0-24-Organisation,1B05F2376ED66CA9FFEB00BE752C16DC-4-35-39-Organisation,1B05F2376ED66CA9FFEB00BE752C16DC-4-0-24-Organisation,1B05F2376ED66CA9FFEB00BE752C16DC-4-35-39-Organisation,Organisation,Organisation,True,True,3.0,ADP-DET,2.0,Noncommissioned officers from each unit,1
0,0.0,"['compound', 'compound', 'nsubj', 'prep', 'det', 'compound', 'pobj', 'prep', 'compound', 'compound', 'compound', 'pobj', 'aux', 'ROOT', 'det', 'compound', 'dobj', 'prep', 'pobj', 'punct', 'appos', 'prep', 'det', 'pobj', 'prep', 'pobj', 'nummod', 'prep', 'amod', 'pobj', 'prep', 'det', 'compound', 'compound', 'pobj', 'punct']",36,13,lead,1,15,14,0,20,12,2,Special Presidential Envoy for the Global Coalition to Counter ISIL Brett McGurk,an interagency delegation,Person,Organisation,PROPN-PROPN-PROPN-ADP-DET-PROPN-PROPN-ADP-PROPN-PROPN-PROPN-PROPN,DET-NOUN-NOUN,compound-compound-nsubj-prep-det-compound-pobj-prep-compound-compound-compound-pobj,det-compound-dobj,NNP-NNP-NNP-IN-DT-NNP-NNP-IN-NNP-NNP-NNP-NNP,DT-NN-NN,4,"[1, 2, 13, 16, 15]",InChargeOf,InChargeOf,2C6CB502FAD51B6B4CA765E57E221BEA-0-0-80-Person,2C6CB502FAD51B6B4CA765E57E221BEA-0-91-116-Organisation,2C6CB502FAD51B6B4CA765E57E221BEA-0-0-80-Person,2C6CB502FAD51B6B4CA765E57E221BEA-0-91-116-Organisation,Person,Organisation,True,True,3.0,VERB-VERB,2.0,Special Presidential Envoy for the Global Coalition to Counter ISIL Brett McGurk will lead an interagency delegation,1
1,1.0,"['det', 'nsubj', 'aux', 'ROOT', 'det', 'attr', 'mark', 'compound', 'nsubj', 'aux', 'advcl', 'amod', 'dobj', 'prep', 'pobj', 'cc', 'conj', 'cc', 'aux', 'conj', 'dobj', 'aux', 'advmod', 'relcl', 'det', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'cc', 'poss', 'conj', 'prep', 'det', 'amod', 'pobj', 'punct']",40,3,be,28,30,2,27,9,-25,27,Da’esh,Iraq,Organisation,Location,X,PROPN,pobj,pobj,ADD,NNP,2,"[28, 29, 30]",CoLocated,CoLocated,2C6CB502FAD51B6B4CA765E57E221BEA-1-170-176-Organisation,2C6CB502FAD51B6B4CA765E57E221BEA-1-180-184-Location,2C6CB502FAD51B6B4CA765E57E221BEA-1-170-176-Organisation,2C6CB502FAD51B6B4CA765E57E221BEA-1-180-184-Location,Organisation,Location,True,True,2.0,ADP,2.0,Da’esh in Iraq,1
2,1.0,"['det', 'nsubj', 'aux', 'ROOT', 'det', 'attr', 'mark', 'compound', 'nsubj', 'aux', 'advcl', 'amod', 'dobj', 'prep', 'pobj', 'cc', 'conj', 'cc', 'aux', 'conj', 'dobj', 'aux', 'advmod', 'relcl', 'det', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'cc', 'poss', 'conj', 'prep', 'det', 'amod', 'pobj', 'punct']",40,3,be,28,32,4,27,7,-25,29,Da’esh,Syria,Organisation,Location,X,PROPN,pobj,conj,ADD,NNP,2,"[28, 25, 32]",CoLocated,CoLocated,2C6CB502FAD51B6B4CA765E57E221BEA-1-170-176-Organisation,2C6CB502FAD51B6B4CA765E57E221BEA-1-189-194-Location,2C6CB502FAD51B6B4CA765E57E221BEA-1-170-176-Organisation,2C6CB502FAD51B6B4CA765E57E221BEA-1-189-194-Location,Organisation,Location,True,True,4.0,ADP-PROPN-CCONJ,3.0,Da’esh in Iraq and Syria,1
0,0.0,"['det', 'compound', 'nsubj', 'ROOT', 'det', 'nmod', 'dobj', 'prep', 'pobj', 'cc', 'amod', 'conj', 'prep', 'pobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'pobj', 'punct', '']",25,3,joined,1,5,4,0,19,2,2,The Foreign Secretary,the US Secretary of State,Person,Person,DET-PROPN-PROPN,DET-PROPN-PROPN-ADP-PROPN,det-compound-nsubj,det-nmod-dobj-prep-pobj,DT-NNP-NNP,DT-NNP-NNP-IN-NNP,4,"[1, 2, 3, 6, 5]",CommWith,CommWith,6CB38F21A7E71AD4FD0044E4FCE78F52-0-0-21-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-0-29-54-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-0-0-21-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-0-29-54-Person,Person,Person,True,True,2.0,VERB,2.0,The Foreign Secretary joined the US Secretary of State,1
1,0.0,"['det', 'compound', 'nsubj', 'ROOT', 'det', 'nmod', 'dobj', 'prep', 'pobj', 'cc', 'amod', 'conj', 'prep', 'pobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'pobj', 'punct', '']",25,3,joined,1,11,10,0,13,2,8,The Foreign Secretary,international partners,Person,Organisation,DET-PROPN-PROPN,ADJ-NOUN,det-compound-nsubj,amod-conj,DT-NNP-NNP,JJ-NNS,4,"[1, 2, 3, 6, 11]",CommWith,CommWith,6CB38F21A7E71AD4FD0044E4FCE78F52-0-0-21-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-0-59-81-Organisation,6CB38F21A7E71AD4FD0044E4FCE78F52-0-0-21-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-0-59-81-Organisation,Person,Organisation,True,True,4.0,VERB-DET-CCONJ,3.0,The Foreign Secretary joined the US Secretary of State and international partners,1
2,8.0,"['prep', 'det', 'pobj', 'prep', 'pobj', 'det', 'compound', 'nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'punct', 'advcl', 'compound', 'dobj', 'prep', 'nummod', 'pobj', 'punct']",21,9,return,2,2,0,1,18,7,-7,the Foreign Secretary,the Gulf,Person,Location,DET-PROPN-PROPN,DET-PROPN,det-compound-nsubj,det-pobj,DT-NNP-NNP,DT-NNP,0,[2],CoLocated,CoLocated,6CB38F21A7E71AD4FD0044E4FCE78F52-8-31-52-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-8-68-76-Location,6CB38F21A7E71AD4FD0044E4FCE78F52-8-31-52-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-8-68-76-Location,Person,Location,True,True,,,,the Foreign Secretary will return to the Gulf,1
3,8.0,"['prep', 'det', 'pobj', 'prep', 'pobj', 'det', 'compound', 'nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'punct', 'advcl', 'compound', 'dobj', 'prep', 'nummod', 'pobj', 'punct']",21,9,return,2,16,14,1,4,7,7,the Foreign Secretary,Saudi Arabia,Person,Location,DET-PROPN-PROPN,PROPN-PROPN,det-compound-nsubj,compound-dobj,DT-NNP-NNP,NNP-NNP,4,"[2, 0, 9, 14, 16]",CoLocated,CoLocated,6CB38F21A7E71AD4FD0044E4FCE78F52-8-31-52-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-8-87-99-Location,6CB38F21A7E71AD4FD0044E4FCE78F52-8-31-52-Person,6CB38F21A7E71AD4FD0044E4FCE78F52-8-87-99-Location,Person,Location,True,True,,,,"the Foreign Secretary will return to the Gulf , visiting Saudi Arabia",1
0,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,5,10,5,4,7,2,3,Coalition military forces,strikes,Organisation,Weapon,NOUN-ADJ-NOUN,NOUN,nmod-amod-nsubj,dobj,NN-JJ-NNS,NNS,4,"[5, 6, 7, 9, 10]",InChargeOf,InChargeOf,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,Organisation,Weapon,True,True,3.0,VERB-NUM,2.0,Coalition military forces conducted 34 strikes,1
1,2.0,"['advmod', 'prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'acl', 'prep', 'cc', 'conj', 'pobj', 'prep', 'det', 'pobj', 'prep', 'pobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'cc', 'advmod', 'conj', 'conj', 'advmod', 'advmod', 'cc', 'compound', 'conj', 'prep', 'compound', 'pobj', 'punct', '']",39,7,conducted,5,10,5,4,28,2,3,Coalition military forces,strikes,Organisation,Weapon,PROPN-ADJ-NOUN,NOUN,nmod-amod-nsubj,dobj,NNP-JJ-NNS,NNS,4,"[5, 6, 7, 9, 10]",InChargeOf,InChargeOf,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,Organisation,Weapon,True,True,3.0,VERB-NUM,2.0,Coalition military forces conducted 34 strikes,1
2,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,5,12,7,4,5,2,5,Coalition military forces,ISIL terrorists,Organisation,Organisation,NOUN-ADJ-NOUN,PROPN-NOUN,nmod-amod-nsubj,compound-pobj,NN-JJ-NNS,NNP-NNS,5,"[5, 6, 7, 9, 10, 12]",FightingAgainst,FightingAgainst,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,Organisation,Organisation,True,True,5.0,VERB-NUM-NOUN-ADP,4.0,Coalition military forces conducted 34 strikes against ISIL terrorists,1
3,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,5,15,10,4,2,2,8,Coalition military forces,Syria,Organisation,Location,NOUN-ADJ-NOUN,PROPN,nmod-amod-nsubj,pobj,NN-JJ-NNS,NNP,8,"[5, 6, 7, 9, 10, 12, 13, 14, 15]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,Organisation,Location,True,True,7.0,VERB-NUM-NOUN-ADP-PROPN-ADP,6.0,Coalition military forces conducted 34 strikes against ISIL terrorists in Syria,1
4,1.0,"['prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'conj', 'cc', 'advmod', 'amod', 'conj', 'prep', 'compound', 'pobj', 'punct']",23,6,conducted,4,2,-2,3,20,2,-4,Coalition military forces,Syria,Organisation,Location,PROPN-ADJ-NOUN,PROPN,nmod-amod-nsubj,pobj,NNP-JJ-NNS,NNP,3,"[4, 5, 6, 2]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,Organisation,Location,True,True,7.0,VERB-NUM-NOUN-ADP-PROPN-ADP,6.0,Coalition military forces conducted 34 strikes against ISIL terrorists in Syria,1
5,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,5,17,12,4,0,2,10,Coalition military forces,Iraq,Organisation,Location,NOUN-ADJ-NOUN,PROPN,nmod-amod-nsubj,conj,NN-JJ-NNS,NNP,3,"[5, 6, 7, 17]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-11-36-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,Organisation,Location,True,True,9.0,VERB-NUM-NOUN-ADP-PROPN-ADP-PROPN-CCONJ,7.0,Coalition military forces conducted 34 strikes against ISIL terrorists in Syria and Iraq,1
6,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,10,15,5,9,2,-3,8,strikes,Syria,Weapon,Location,NOUN,PROPN,dobj,pobj,NNS,NNP,4,"[10, 12, 13, 14, 15]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,Weapon,Location,True,True,4.0,ADP-PROPN-ADP,4.0,strikes against ISIL terrorists in Syria,1
7,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,10,17,7,9,0,-3,10,strikes,Iraq,Weapon,Location,NOUN,PROPN,dobj,conj,NNS,NNP,3,"[10, 9, 7, 17]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-50-57-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,Weapon,Location,True,True,6.0,ADP-PROPN-ADP-PROPN-CCONJ,5.0,strikes against ISIL terrorists in Syria and Iraq,1
8,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,12,15,3,11,2,-5,8,ISIL terrorists,Syria,Organisation,Location,PROPN-NOUN,PROPN,compound-pobj,pobj,NNP-NNS,NNP,3,"[12, 13, 14, 15]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-85-90-Location,Organisation,Location,True,True,2.0,ADP,2.0,ISIL terrorists in Syria,1
9,0.0,"['prep', 'pobj', 'nummod', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",18,7,conducted,12,17,5,11,0,-5,10,ISIL terrorists,Iraq,Organisation,Location,PROPN-NOUN,PROPN,compound-pobj,conj,NNP-NNS,NNP,4,"[12, 10, 9, 7, 17]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,26CC32861EF7D38FBAE9CABAFC7487E1-0-66-81-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-0-95-99-Location,Organisation,Location,True,True,4.0,ADP-PROPN-CCONJ,3.0,ISIL terrorists in Syria and Iraq,1
10,1.0,"['prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'conj', 'cc', 'advmod', 'amod', 'conj', 'prep', 'compound', 'pobj', 'punct']",23,6,conducted,4,21,17,3,1,2,15,Coalition military forces,ISIL,Organisation,Organisation,PROPN-ADJ-NOUN,PROPN,nmod-amod-nsubj,compound,NNP-JJ-NNS,NNP,7,"[4, 5, 6, 9, 17, 18, 19, 21]",FightingAgainst,FightingAgainst,26CC32861EF7D38FBAE9CABAFC7487E1-2-22-47-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-22-47-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,Organisation,Organisation,True,True,22.0,VERB-NUM-NOUN-VERB-ADP-CCONJ-ADP-NOUN-ADP-DET-VERB-NOUN-NOUN-CCONJ-ADV-ADV-ADV-SCONJ-NOUN-NOUN-ADP,10.0,"Coalition military forces conducted 11 strikes coordinated with and in support of the government of Iraq using attack , fighter , and remotely piloted aircraft as well as rocket artillery against ISIL",1
11,1.0,"['prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'conj', 'cc', 'advmod', 'amod', 'conj', 'prep', 'compound', 'pobj', 'punct']",23,6,conducted,21,2,-19,20,20,-15,-4,ISIL,Syria,Organisation,Location,PROPN,PROPN,compound,pobj,NNP,NNP,6,"[21, 19, 18, 17, 9, 6, 2]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-31-19-23-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-31-35-40-Location,26CC32861EF7D38FBAE9CABAFC7487E1-31-19-23-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-31-35-40-Location,Organisation,Location,True,True,3.0,NOUN-ADP,3.0,ISIL targets in Syria,1
12,24.0,"['det', 'nsubj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'advmod', 'ROOT', 'det', 'poss', 'case', 'dobj', 'aux', 'acl', 'dobj', 'cc', 'conj', 'dobj', 'punct']",22,10,limits,4,7,3,3,14,6,-3,ISIL,Syria,Organisation,Location,PROPN,PROPN,compound,pobj,NNP,NNP,3,"[4, 5, 6, 7]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-31-19-23-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-31-35-40-Location,26CC32861EF7D38FBAE9CABAFC7487E1-31-19-23-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-31-35-40-Location,Organisation,Location,True,True,3.0,NOUN-ADP,3.0,ISIL targets in Syria,1
13,2.0,"['advmod', 'prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'acl', 'prep', 'cc', 'conj', 'pobj', 'prep', 'det', 'pobj', 'prep', 'pobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'cc', 'advmod', 'conj', 'conj', 'advmod', 'advmod', 'cc', 'compound', 'conj', 'prep', 'compound', 'pobj', 'punct', '']",39,7,conducted,17,36,19,16,2,-10,29,the government of Iraq,ISIL,Organisation,Organisation,DET-NOUN-ADP-PROPN,PROPN,det-pobj-prep-pobj,compound,DT-NN-IN-NNP,NNP,10,"[17, 15, 14, 20, 21, 23, 27, 28, 33, 34, 36]",FightingAgainst,FightingAgainst,26CC32861EF7D38FBAE9CABAFC7487E1-2-104-126-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-104-126-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,Organisation,Organisation,True,True,12.0,VERB-NOUN-NOUN-CCONJ-ADV-ADV-ADV-SCONJ-NOUN-NOUN-ADP,12.0,"the government of Iraq using attack , fighter , and remotely piloted aircraft as well as rocket artillery against ISIL",1
14,2.0,"['advmod', 'prep', 'pobj', 'punct', 'nmod', 'amod', 'nsubj', 'ROOT', 'nummod', 'dobj', 'acl', 'prep', 'cc', 'conj', 'pobj', 'prep', 'det', 'pobj', 'prep', 'pobj', 'advcl', 'dobj', 'punct', 'conj', 'punct', 'cc', 'advmod', 'conj', 'conj', 'advmod', 'advmod', 'cc', 'compound', 'conj', 'prep', 'compound', 'pobj', 'punct', '']",39,7,conducted,36,37,1,35,1,-29,30,ISIL,targets,Organisation,Location,PROPN,NOUN,compound,pobj,NNP,NNS,14,"[36, 34, 33, 28, 27, 23, 21, 20, 14, 13, 11, 10, 9, 7, 37]",InChargeOf,InChargeOf,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-221-228-Location,26CC32861EF7D38FBAE9CABAFC7487E1-2-216-220-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-2-221-228-Location,Organisation,Location,True,True,1.0,,1.0,ISIL targets,1
15,4.0,"['prep', 'compound', 'pobj', 'punct', 'nummod', 'nsubj', 'ROOT', 'det', 'compound', 'amod', 'dobj', 'cc', 'conj', 'det', 'compound', 'dobj', 'punct', '', 'punct', '']",20,6,engaged,6,9,3,5,10,0,3,strike,ISIL tactical unit,Weapon,Organisation,NOUN,PROPN-ADJ-NOUN,nsubj,compound-amod-dobj,NN,NNP-JJ-NN,2,"[6, 10, 9]",FightingAgainst,FightingAgainst,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-40-58-Organisation,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-40-58-Organisation,Weapon,Organisation,True,True,3.0,VERB-DET,2.0,strike engaged an ISIL tactical unit,1
16,4.0,"['prep', 'compound', 'pobj', 'punct', 'nummod', 'nsubj', 'ROOT', 'det', 'compound', 'amod', 'dobj', 'cc', 'conj', 'det', 'compound', 'dobj', 'punct', '', 'punct', '']",20,6,engaged,6,2,-4,5,17,0,-4,strike,Al Shadaddi,Weapon,Location,NOUN,PROPN-PROPN,nsubj,compound-pobj,NN,NNP-NNP,1,"[6, 2]",CoLocated,CoLocated,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-5-16-Location,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-5-16-Location,Weapon,Location,True,True,2.0,NUM,3.0,"Al Shadaddi , one strike",1
17,4.0,"['prep', 'compound', 'pobj', 'punct', 'nummod', 'nsubj', 'ROOT', 'det', 'compound', 'amod', 'dobj', 'cc', 'conj', 'det', 'compound', 'dobj', 'punct', '', 'punct', '']",20,6,engaged,6,14,8,5,5,0,8,strike,a fighting position,Weapon,Location,NOUN,DET-NOUN-NOUN,nsubj,det-compound-dobj,NN,DT-NN-NN,3,"[6, 12, 15, 14]",FightingAgainst,FightingAgainst,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-73-92-Location,26CC32861EF7D38FBAE9CABAFC7487E1-4-22-28-Weapon,26CC32861EF7D38FBAE9CABAFC7487E1-4-73-92-Location,Weapon,Location,True,True,6.0,VERB-DET-PROPN-CCONJ-VERB,3.0,strike engaged an ISIL tactical unit and destroyed a fighting position,1
